open_time,open,high,low,close,volume,close_time,quote_asset_volume,number_of_trades,taker_buy_base_asset_volume,taker_buy_quote_asset_volume,ignore
2025-06-15 02:00:00,105421.03,105624.0,105421.03,105596.81,64.89003,2025-06-15 02:29:59.999,6849734.99272230,16796,44.98941000,4748811.04446850,0
2025-06-15 02:30:00,105596.81,105617.65,105481.02,105481.02,67.4182,2025-06-15 02:59:59.999,7115792.69150310,11369,24.21503000,2555516.57162790,0
2025-06-15 03:00:00,105481.03,105546.96,105481.02,105534.42,40.10074,2025-06-15 03:29:59.999,4230745.06612060,8590,21.80810000,2300784.97289930,0
2025-06-15 03:30:00,105534.42,105566.22,105463.54,105473.55,61.82677,2025-06-15 03:59:59.999,6523342.83205240,11121,25.67942000,2709479.96577760,0
2025-06-15 04:00:00,105473.54,105515.19,105473.54,105505.97,31.81707,2025-06-15 04:29:59.999,3356561.23104130,6716,16.94557000,1787673.97283290,0
2025-06-15 04:30:00,105505.98,105563.04,105480.01,105559.68,69.16098,2025-06-15 04:59:59.999,7297713.97269730,11116,45.79326000,4831993.56771670,0
2025-06-15 05:00:00,105559.69,105661.77,105507.65,105661.77,65.34031,2025-06-15 05:29:59.999,6896530.34967620,10312,40.90745000,4317709.14534780,0
2025-06-15 05:30:00,105661.76,106100.0,105661.76,106073.94,224.69334,2025-06-15 05:59:59.999,23793951.15351270,31998,162.88150000,17247129.35709590,0
2025-06-15 06:00:00,106073.95,106128.57,105550.0,105550.0,428.1161,2025-06-15 06:29:59.999,45290020.83678620,43454,241.54021000,25557201.16799380,0
2025-06-15 06:30:00,105550.0,105550.01,105410.43,105440.69,262.37073,2025-06-15 06:59:59.999,27670560.18608850,26435,55.23369000,5826018.37008170,0
2025-06-15 07:00:00,105440.7,105442.92,105200.0,105275.99,168.88359,2025-06-15 07:29:59.999,17791001.49504420,33889,72.66329000,7653205.06158550,0
2025-06-15 07:30:00,105276.0,105453.46,105210.59,105428.0,131.14769,2025-06-15 07:59:59.999,13817834.42759320,25725,74.30549000,7829191.08170120,0
2025-06-15 08:00:00,105428.0,105482.4,105243.25,105243.26,108.80412,2025-06-15 08:29:59.999,11459365.68967220,22596,55.44004000,5838851.06280740,0
2025-06-15 08:30:00,105243.26,105286.88,105134.69,105197.19,150.77772,2025-06-15 08:59:59.999,15862446.05754030,23917,74.57128000,7845230.93068150,0
2025-06-15 09:00:00,105197.18,105197.19,104908.56,104928.18,210.83479,2025-06-15 09:29:59.999,22136623.09963300,40927,77.30433000,8115819.38074630,0
2025-06-15 09:30:00,104928.18,105040.0,104867.64,104915.15,159.81874,2025-06-15 09:59:59.999,16769883.11511800,33705,73.97624000,7762713.43230020,0
2025-06-15 10:00:00,104915.15,105155.55,104915.14,105032.79,114.49836,2025-06-15 10:29:59.999,12028001.34948000,28355,64.91354000,6818624.24880140,0
2025-06-15 10:30:00,105032.79,105188.96,104974.79,105119.99,116.04051,2025-06-15 10:59:59.999,12194727.37990650,24093,49.00347000,5149287.88978380,0
2025-06-15 11:00:00,105119.99,105162.51,104994.75,104999.99,87.62734,2025-06-15 11:29:59.999,9207463.66931190,21182,44.11865000,4635784.07371010,0
2025-06-15 11:30:00,104999.99,105064.07,104915.14,104970.51,108.75161,2025-06-15 11:59:59.999,11416395.97999970,22416,53.65958000,5632753.18920620,0
2025-06-15 12:00:00,104970.51,105176.48,104955.48,105041.03,118.3134,2025-06-15 12:29:59.999,12433059.01919710,22200,69.54234000,7307973.98121200,0
2025-06-15 12:30:00,105041.03,105296.0,105013.5,105289.81,138.96697,2025-06-15 12:59:59.999,14614035.88219860,30374,82.21428000,8645322.57175410,0
